,Generation id,Number of archives,Average fog density,Standard deviation of fog density
0,0,2,0.13586771913306367,0.006281282760658535
1,1,4,0.13673401557974352,0.0107166220908256
2,2,5,0.15046684200328436,0.02909018524427897
3,3,5,0.15046684200328436,0.02909018524427897
4,4,6,0.15490346884916154,0.028348145503186695
5,5,6,0.15490346884916154,0.028348145503186695
6,6,6,0.15490346884916154,0.028348145503186695
7,7,6,0.15490346884916154,0.028348145503186695
8,8,6,0.15490346884916154,0.028348145503186695
9,9,6,0.15490346884916154,0.028348145503186695
