,Generation id,Number of archives,Initial population time,Evaluation process time,Distance calculation time,Whole process time
0,0,1,0:00:33.868349,0:21:28.578177,0:00:03.488182,0:22:05.934708
1,1,1,0:00:01.479416,0:12:23.645367,0:00:35.782613,0:13:00.907396
2,2,2,0:00:01.521004,0:10:27.593477,0:00:36.890577,0:11:06.005058
3,3,3,0:00:04.279104,0:14:25.876629,0:01:10.264271,0:15:40.420004
4,4,3,0:00:04.305229,0:13:07.539210,0:01:41.363881,0:14:53.208320
5,5,5,0:00:02.860000,0:13:36.802465,0:01:43.889060,0:15:23.551525
6,6,6,0:00:02.982228,0:11:13.982112,0:02:54.838116,0:14:11.802456
7,7,6,0:00:09.363587,0:21:22.828984,0:03:19.636895,0:24:51.829466
8,8,8,0:00:00.009000,0:13:17.526581,0:03:27.124856,0:16:44.660437
9,9,8,0:00:08.861101,0:27:31.565768,0:04:22.615417,0:32:03.042286
