,Generation id,Number of archives,Average fog amount for whole generation,Name of the individual,Fog density of failure version,Fog density of successful version,Average fog density of individual,standard deviation
0,0,1,0.15256613687121137,ind3,0.18256613687121137,0.12256613687121136,0.15256613687121137,0.030000000000000006
1,1,2,0.17814772123058803,ind17,0.24122930558996464,0.16622930558996465,0.20372930558996466,0.03749999999999999
2,1,2,0.17814772123058803,ind3,0.18256613687121137,0.12256613687121136,0.15256613687121137,0.030000000000000006
84,2,2,0.185647721230588,ind35,0.24122930558996464,0.19622930558996465,0.21872930558996465,0.022499999999999992
83,2,2,0.185647721230588,ind3,0.18256613687121137,0.12256613687121136,0.15256613687121137,0.030000000000000006
192,3,2,0.185647721230588,ind3,0.18256613687121137,0.12256613687121136,0.15256613687121137,0.030000000000000006
193,3,2,0.185647721230588,ind35,0.24122930558996464,0.19622930558996465,0.21872930558996465,0.022499999999999992
312,4,2,0.185647721230588,ind3,0.18256613687121137,0.12256613687121136,0.15256613687121137,0.030000000000000006
313,4,2,0.185647721230588,ind35,0.24122930558996464,0.19622930558996465,0.21872930558996465,0.022499999999999992
434,5,2,0.185647721230588,ind3,0.18256613687121137,0.12256613687121136,0.15256613687121137,0.030000000000000006
435,5,2,0.185647721230588,ind35,0.24122930558996464,0.19622930558996465,0.21872930558996465,0.022499999999999992
436,6,3,0.16371302289926418,ind35,0.24122930558996464,0.19622930558996465,0.21872930558996465,0.022499999999999992
437,6,3,0.16371302289926418,ind96,0.2023436262366165,0.052343626236616515,0.12734362623661652,0.075
438,6,3,0.16371302289926418,ind99,0.16756613687121136,0.12256613687121136,0.14506613687121137,0.0225
439,7,4,0.17152547745460384,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
441,7,4,0.17152547745460384,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
442,7,4,0.17152547745460384,ind99,0.16756613687121136,0.12256613687121136,0.14506613687121137,0.0225
440,7,4,0.17152547745460384,ind114,0.19496284112062276,0.10496284112062276,0.14996284112062275,0.045
443,8,5,0.1650482782023496,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
444,8,5,0.1650482782023496,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
445,8,5,0.1650482782023496,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
446,8,5,0.1650482782023496,ind139,0.16163948119333268,0.08663948119333269,0.12413948119333268,0.0375
447,8,5,0.1650482782023496,ind99,0.16756613687121136,0.12256613687121136,0.14506613687121137,0.0225
451,9,7,0.1525456120631334,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
452,9,7,0.1525456120631334,ind154,0.09278976906054667,0.06278976906054667,0.07778976906054667,0.015
453,9,7,0.1525456120631334,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
448,9,7,0.1525456120631334,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
449,9,7,0.1525456120631334,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
450,9,7,0.1525456120631334,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
454,9,7,0.1525456120631334,ind99,0.16756613687121136,0.12256613687121136,0.14506613687121137,0.0225
3,10,7,0.1525456120631334,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
5,10,7,0.1525456120631334,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
6,10,7,0.1525456120631334,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
7,10,7,0.1525456120631334,ind154,0.09278976906054667,0.06278976906054667,0.07778976906054667,0.015
8,10,7,0.1525456120631334,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
9,10,7,0.1525456120631334,ind99,0.16756613687121136,0.12256613687121136,0.14506613687121137,0.0225
4,10,7,0.1525456120631334,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
10,11,7,0.1525456120631334,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
12,11,7,0.1525456120631334,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
13,11,7,0.1525456120631334,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
11,11,7,0.1525456120631334,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
15,11,7,0.1525456120631334,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
16,11,7,0.1525456120631334,ind99,0.16756613687121136,0.12256613687121136,0.14506613687121137,0.0225
14,11,7,0.1525456120631334,ind154,0.09278976906054667,0.06278976906054667,0.07778976906054667,0.015
17,12,7,0.1525456120631334,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
18,12,7,0.1525456120631334,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
19,12,7,0.1525456120631334,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
20,12,7,0.1525456120631334,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
21,12,7,0.1525456120631334,ind154,0.09278976906054667,0.06278976906054667,0.07778976906054667,0.015
22,12,7,0.1525456120631334,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
23,12,7,0.1525456120631334,ind99,0.16756613687121136,0.12256613687121136,0.14506613687121137,0.0225
26,13,7,0.14718846920599055,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
30,13,7,0.14718846920599055,ind219,0.12256613687121136,0.09256613687121136,0.10756613687121136,0.015
27,13,7,0.14718846920599055,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
24,13,7,0.14718846920599055,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
25,13,7,0.14718846920599055,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
28,13,7,0.14718846920599055,ind154,0.09278976906054667,0.06278976906054667,0.07778976906054667,0.015
29,13,7,0.14718846920599055,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
31,14,7,0.14718846920599055,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
32,14,7,0.14718846920599055,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
33,14,7,0.14718846920599055,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
34,14,7,0.14718846920599055,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
35,14,7,0.14718846920599055,ind154,0.09278976906054667,0.06278976906054667,0.07778976906054667,0.015
36,14,7,0.14718846920599055,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
37,14,7,0.14718846920599055,ind219,0.12256613687121136,0.09256613687121136,0.10756613687121136,0.015
41,15,9,0.14373718950664086,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
46,15,9,0.14373718950664086,ind249,0.17490455070797883,0.08490455070797882,0.12990455070797882,0.045000000000000005
45,15,9,0.14373718950664086,ind244,0.22341087040985497,0.04341087040985496,0.13341087040985497,0.09
44,15,9,0.14373718950664086,ind219,0.12256613687121136,0.09256613687121136,0.10756613687121136,0.015
43,15,9,0.14373718950664086,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
42,15,9,0.14373718950664086,ind154,0.09278976906054667,0.06278976906054667,0.07778976906054667,0.015
40,15,9,0.14373718950664086,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
39,15,9,0.14373718950664086,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
38,15,9,0.14373718950664086,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
53,16,9,0.15040385617330754,ind249,0.17490455070797883,0.08490455070797882,0.12990455070797882,0.045000000000000005
52,16,9,0.15040385617330754,ind219,0.12256613687121136,0.09256613687121136,0.10756613687121136,0.015
47,16,9,0.15040385617330754,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
48,16,9,0.15040385617330754,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
49,16,9,0.15040385617330754,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
50,16,9,0.15040385617330754,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
51,16,9,0.15040385617330754,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
54,16,9,0.15040385617330754,ind259,0.22341087040985497,0.11841087040985496,0.17091087040985498,0.052500000000000005
55,16,9,0.15040385617330754,ind274,0.10778976906054667,0.09278976906054667,0.10028976906054668,0.0075
57,17,9,0.1529038561733075,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
58,17,9,0.1529038561733075,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
59,17,9,0.1529038561733075,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
56,17,9,0.1529038561733075,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
64,17,9,0.1529038561733075,ind286,0.22341087040985497,0.16341087040985497,0.19341087040985497,0.03
63,17,9,0.1529038561733075,ind274,0.10778976906054667,0.09278976906054667,0.10028976906054668,0.0075
62,17,9,0.1529038561733075,ind249,0.17490455070797883,0.08490455070797882,0.12990455070797882,0.045000000000000005
61,17,9,0.1529038561733075,ind219,0.12256613687121136,0.09256613687121136,0.10756613687121136,0.015
60,17,9,0.1529038561733075,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
70,18,9,0.1529038561733075,ind219,0.12256613687121136,0.09256613687121136,0.10756613687121136,0.015
67,18,9,0.1529038561733075,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
71,18,9,0.1529038561733075,ind249,0.17490455070797883,0.08490455070797882,0.12990455070797882,0.045000000000000005
65,18,9,0.1529038561733075,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
66,18,9,0.1529038561733075,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
72,18,9,0.1529038561733075,ind274,0.10778976906054667,0.09278976906054667,0.10028976906054668,0.0075
73,18,9,0.1529038561733075,ind286,0.22341087040985497,0.16341087040985497,0.19341087040985497,0.03
68,18,9,0.1529038561733075,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
69,18,9,0.1529038561733075,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
74,19,9,0.15623718950664084,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
75,19,9,0.15623718950664084,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
76,19,9,0.15623718950664084,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
77,19,9,0.15623718950664084,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
78,19,9,0.15623718950664084,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
79,19,9,0.15623718950664084,ind249,0.17490455070797883,0.08490455070797882,0.12990455070797882,0.045000000000000005
81,19,9,0.15623718950664084,ind286,0.22341087040985497,0.16341087040985497,0.19341087040985497,0.03
80,19,9,0.15623718950664084,ind274,0.10778976906054667,0.09278976906054667,0.10028976906054668,0.0075
82,19,9,0.15623718950664084,ind327,0.15256613687121134,0.12256613687121136,0.13756613687121136,0.014999999999999993
94,20,10,0.15893837510163977,ind329,0.2732490454566303,0.09324904545663033,0.18324904545663032,0.08999999999999998
93,20,10,0.15893837510163977,ind327,0.15256613687121134,0.12256613687121136,0.13756613687121136,0.014999999999999993
92,20,10,0.15893837510163977,ind286,0.22341087040985497,0.16341087040985497,0.19341087040985497,0.03
91,20,10,0.15893837510163977,ind274,0.10778976906054667,0.09278976906054667,0.10028976906054668,0.0075
90,20,10,0.15893837510163977,ind249,0.17490455070797883,0.08490455070797882,0.12990455070797882,0.045000000000000005
89,20,10,0.15893837510163977,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
88,20,10,0.15893837510163977,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
87,20,10,0.15893837510163977,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
86,20,10,0.15893837510163977,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
85,20,10,0.15893837510163977,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
104,21,10,0.15893837510163977,ind329,0.2732490454566303,0.09324904545663033,0.18324904545663032,0.08999999999999998
95,21,10,0.15893837510163977,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
96,21,10,0.15893837510163977,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
97,21,10,0.15893837510163977,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
98,21,10,0.15893837510163977,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
99,21,10,0.15893837510163977,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
100,21,10,0.15893837510163977,ind249,0.17490455070797883,0.08490455070797882,0.12990455070797882,0.045000000000000005
101,21,10,0.15893837510163977,ind274,0.10778976906054667,0.09278976906054667,0.10028976906054668,0.0075
102,21,10,0.15893837510163977,ind286,0.22341087040985497,0.16341087040985497,0.19341087040985497,0.03
103,21,10,0.15893837510163977,ind327,0.15256613687121134,0.12256613687121136,0.13756613687121136,0.014999999999999993
109,22,10,0.15893837510163977,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
107,22,10,0.15893837510163977,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
108,22,10,0.15893837510163977,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
110,22,10,0.15893837510163977,ind249,0.17490455070797883,0.08490455070797882,0.12990455070797882,0.045000000000000005
114,22,10,0.15893837510163977,ind329,0.2732490454566303,0.09324904545663033,0.18324904545663032,0.08999999999999998
112,22,10,0.15893837510163977,ind286,0.22341087040985497,0.16341087040985497,0.19341087040985497,0.03
113,22,10,0.15893837510163977,ind327,0.15256613687121134,0.12256613687121136,0.13756613687121136,0.014999999999999993
106,22,10,0.15893837510163977,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
111,22,10,0.15893837510163977,ind274,0.10778976906054667,0.09278976906054667,0.10028976906054668,0.0075
